Show_Number,Air_Date,Round,Category,Value,Question,Answer
5957,7/6/10,Jeopardy!,RHYMES WITH SMART,$600 ,It can be a separating line in your hair or a role in a play,a part
5957,7/6/10,Jeopardy!,"GEOGRAPHY ""E""",$800 ,Parts of the Arabian and Libyan deserts are found in this African country,Egypt
5957,7/6/10,Jeopardy!,RADIO DISNEY,$800 ,"""I Never Told You"" this alliteratively named singer hit Disney's Top 30 with ""Fallin' For You""; wait, I just did",Colbie Caillat
5957,7/6/10,Jeopardy!,PARTS OF PEACH,$800 ,"These parts of a peach tree are glossy green, pointed & lance shaped",leaves
5957,7/6/10,Jeopardy!,BE FRUITFUL & MULTIPLY,$800 ,5 x 10 x 15,750
5957,7/6/10,Jeopardy!,LET'S BOUNCE,$800 ,"It's a type of bounce house, or a dance made famous by Michael Jackson",the moonwalk
5957,7/6/10,Jeopardy!,RHYMES WITH SMART,$800 ,A graphic representation of information,a chart
5957,7/6/10,Jeopardy!,"GEOGRAPHY ""E""","$2,000 ",The family history you wrote for school might include entering the U.S. at this island in New York Bay,Ellis Island
5957,7/6/10,Jeopardy!,RADIO DISNEY,"$1,000 ","Lead singer Ryan Tedder of this band has ""All The Right Moves""",OneRepublic
5957,7/6/10,Jeopardy!,PARTS OF PEACH,"$1,000 ",These parts of a peach tree grow at nodes along the shoots of the previous season's growth; they're usually pink,blossoms
5957,7/6/10,Jeopardy!,BE FRUITFUL & MULTIPLY,"$1,000 ","2 x 1,035","2,070"
5957,7/6/10,Jeopardy!,LET'S BOUNCE,"$1,000 ","This device whose name is from the Italian for ""springboard"" was perfected in the 1930s",a trampoline
5957,7/6/10,Jeopardy!,RHYMES WITH SMART,"$1,000 ",Composer Wolfgang,Mozart
5957,7/6/10,Double Jeopardy!,SCIENCE CLASS,$400 ,99.95% of the mass of an atom is in this part,the nucleus
5957,7/6/10,Double Jeopardy!,KIDS IN SPORTS,$400 ,"Park View of Chula Vista, California beat Taipei 6-3 to win this organization's 2009 World Series",the Little League
5957,7/6/10,Double Jeopardy!,JUST THE FACTS,$400 ,This hero of several books is 11 when he discovers he's a wizard,Harry Potter
5957,7/6/10,Double Jeopardy!,SEE & SAY,$400 ,"Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_26.jpg"" target=""_blank"">this</a> type of mollusk you see",an octopus
5957,7/6/10,Double Jeopardy!,NEWS TO ME,$400 ,"A 7.0 magnitude earthquake in this Caribbean country Jan. 12, 2010 brought a world outpouring of aid",Haiti
5957,7/6/10,Double Jeopardy!,IN THE DICTIONARY,$400 ,It's the 4-letter name of the pleated skirt worn by men in Scotland,a kilt
5957,7/6/10,Double Jeopardy!,SCIENCE CLASS,$800 ,"During this plant process, carbon dioxide & water combine with light energy to create oxygen & glucose",photosynthesis
5957,7/6/10,Double Jeopardy!,KIDS IN SPORTS,$800 ,The perfect waves of New Zealand's Piha Beach were the site for the 2010 World Junior Championships of this,surfing
5957,7/6/10,Double Jeopardy!,JUST THE FACTS,$800 ,"This city, the seat of Clark County, Nevada, has been called ""the entertainment capital of the world""",Las Vegas
5957,7/6/10,Double Jeopardy!,SEE & SAY,$800 ,"Say <a href=""http://www.j-archive.com/media/2010-07-06_DJ_27.jpg"" target=""_blank"">this</a> state that was admitted to the Union in 1859",Oregon
5957,7/6/10,Double Jeopardy!,NEWS TO ME,$800 ,This car company has been in the news for widespread recalls of its Corollas & other models,Toyota
5957,7/6/10,Double Jeopardy!,IN THE DICTIONARY,$800 ,"As an adjective, it can mean proper; as a verb, ""to grade papers""",correct
5957,7/6/10,Double Jeopardy!,SCIENCE CLASS,"$1,200 ",The wedge is an adaptation of the simple machine called the inclined this,plane
5957,7/6/10,Double Jeopardy!,KIDS IN SPORTS,"$1,200 ","With a mighty leap of 5'1"", David Mosely set the U.S. 10 & under record in this event back in 1977",the high jump
5957,7/6/10,Double Jeopardy!,JUST THE FACTS,"$1,200 ","<a href=""http://www.j-archive.com/media/2010-07-06_DJ_14.jpg"" target=""_blank"">This dog breed seen here</a> is a loyal and protective companion",a German Shepherd
5957,7/6/10,Double Jeopardy!,SEE & SAY,"$1,200 ","Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_28.jpg"" target=""_blank"">this</a> bug; don't worry, it doesn't breathe fire",the dragonfly
5957,7/6/10,Double Jeopardy!,NEWS TO ME,"$1,200 ","(<a href=""http://www.j-archive.com/media/2010-07-06_DJ_21.wmv"">Jimmy of the Clue Crew demonstrates, putting his arm over his mouth.</a>) To avoid spreading germs & maybe flu, we learned the sneeze named for this character made famous in an 1897 book",Dracula
5957,7/6/10,Double Jeopardy!,IN THE DICTIONARY,"$1,200 ",Maize is another word for this,corn
5957,7/6/10,Double Jeopardy!,SCIENCE CLASS,"$5,000 ","Of the 6 noble gases on the periodic table, it is the lightest",helium
5957,7/6/10,Double Jeopardy!,KIDS IN SPORTS,"$1,600 ",11-year-old Ashlyn White won a 2009 U.S. youth title in this martial art in which you try to throw your opponent,judo
5957,7/6/10,Double Jeopardy!,JUST THE FACTS,"$1,600 ","In 1751 the Penn Provincial Assembly placed the order for this symbol of freedom, now in Philadelphia",the Liberty Bell
5957,7/6/10,Double Jeopardy!,SEE & SAY,"$1,600 ","Say the name of <a href=""http://www.j-archive.com/media/2010-07-06_DJ_29.jpg"" target=""_blank"">these</a> big trees; it has a color in it",redwood
5957,7/6/10,Double Jeopardy!,NEWS TO ME,"$1,600 ","In a surprise, Ted Kennedy's old Senate seat in this state went to a Republican in a January 2010 election",Massachusetts
